rok;wartosc;sposob prezentacji
1999;107.3;Rok poprzedni = 100
2000;110.1;Rok poprzedni = 100
2001;105.5;Rok poprzedni = 100
2002;101.9;Rok poprzedni = 100
2003;100.8;Rok poprzedni = 100
2004;103.5;Rok poprzedni = 100
2005;102.1;Rok poprzedni = 100
2006;101.0;Rok poprzedni = 100
2007;102.5;Rok poprzedni = 100
2008;104.2;Rok poprzedni = 100
2009;103.5;Rok poprzedni = 100
2010;102.6;Rok poprzedni = 100
2011;104.3;Rok poprzedni = 100
2012;103.7;Rok poprzedni = 100
2013;100.9;Rok poprzedni = 100
2014;100.0;Rok poprzedni = 100
2015;99.1;Rok poprzedni = 100
2016;99.4;Rok poprzedni = 100
2017;102.0;Rok poprzedni = 100
2018;101.6;Rok poprzedni = 100
2019;102.3;Rok poprzedni = 100
2020;103.4;Rok poprzedni = 100
2021;105.1;Rok poprzedni = 100
2022;114.4;Rok poprzedni = 100
2023;111.4;Rok poprzedni = 100
