rok;sektor;wartosc;typ_informacji
2010;Sektor przedsiębiorstw (BES);2773545.9;[tys. zł]
2011;Sektor przedsiębiorstw (BES);3521602.4;[tys. zł]
2012;Sektor przedsiębiorstw (BES);5341069.8;[tys. zł]
2013;Sektor przedsiębiorstw (BES);6291241.2;[tys. zł]
2014;Sektor przedsiębiorstw (BES);7532079.4;[tys. zł]
2015;Sektor przedsiębiorstw (BES);8411352.8;[tys. zł]
2016;Sektor przedsiębiorstw (BES);11782491.7;[tys. zł]
2017;Sektor przedsiębiorstw (BES);13271902.6;[tys. zł]
2018;Sektor przedsiębiorstw (BES);16950841.8;[tys. zł]
2019;Sektor przedsiębiorstw (BES);19030892.7;[tys. zł]
2020;Sektor przedsiębiorstw (BES);20359056.8;[tys. zł]
2021;Sektor przedsiębiorstw (BES);23769059.4;[tys. zł]
2022;Sektor przedsiębiorstw (BES);29455098.3;[tys. zł]
