rok;sektor;wartosc;typ_informacji
2010;Sektor szkolnictwa wyższego (HES);3874091.7;[tys. zł]
2011;Sektor szkolnictwa wyższego (HES);4102261.5;[tys. zł]
2012;Sektor szkolnictwa wyższego (HES);4942174.3;[tys. zł]
2013;Sektor szkolnictwa wyższego (HES);4220307.0;[tys. zł]
2014;Sektor szkolnictwa wyższego (HES);4714844.4;[tys. zł]
2015;Sektor szkolnictwa wyższego (HES);5215158.0;[tys. zł]
2016;Sektor szkolnictwa wyższego (HES);5630383.9;[tys. zł]
2017;Sektor szkolnictwa wyższego (HES);6764892.5;[tys. zł]
2018;Sektor szkolnictwa wyższego (HES);8121700.3;[tys. zł]
2019;Sektor szkolnictwa wyższego (HES);10779435.2;[tys. zł]
2020;Sektor szkolnictwa wyższego (HES);11324448.4;[tys. zł]
2021;Sektor szkolnictwa wyższego (HES);13058960.0;[tys. zł]
2022;Sektor szkolnictwa wyższego (HES);14296790.2;[tys. zł]
