rok;sektor;wartosc;typ_informacji
2010;Sektor prywatnych instytucji niekomercyjnych (PNP);29628.8;[tys. zł]
2011;Sektor prywatnych instytucji niekomercyjnych (PNP);27009.0;[tys. zł]
2012;Sektor prywatnych instytucji niekomercyjnych (PNP);56727.2;[tys. zł]
2013;Sektor prywatnych instytucji niekomercyjnych (PNP);42440.5;[tys. zł]
2014;Sektor prywatnych instytucji niekomercyjnych (PNP);48591.2;[tys. zł]
2015;Sektor prywatnych instytucji niekomercyjnych (PNP);28412.1;[tys. zł]
2016;Sektor prywatnych instytucji niekomercyjnych (PNP);79134.6;[tys. zł]
2017;Sektor prywatnych instytucji niekomercyjnych (PNP);71417.0;[tys. zł]
2018;Sektor prywatnych instytucji niekomercyjnych (PNP);76667.9;[tys. zł]
2019;Sektor prywatnych instytucji niekomercyjnych (PNP);90281.5;[tys. zł]
2020;Sektor prywatnych instytucji niekomercyjnych (PNP);79487.9;[tys. zł]
2021;Sektor prywatnych instytucji niekomercyjnych (PNP);77535.8;[tys. zł]
2022;Sektor prywatnych instytucji niekomercyjnych (PNP);86777.7;[tys. zł]
