id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;id_braku_wartosci;oznaczenie_braku_wartosci;nazwa_braku_wartosci;id_tajnosci;oznaczenie_tajnosci;nazwa_tajnosci;id_flaga;oznaczenie_flagi;nazwa_flaga;notka
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336516;stacjonarne;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2010;2010 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336518;niestacjonarne;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2010;2010 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336520;Ogółem;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2010;2010 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336516;stacjonarne;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2011;2011 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336518;niestacjonarne;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2011;2011 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336520;Ogółem;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2011;2011 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336516;stacjonarne;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2012;2012 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336518;niestacjonarne;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2012;2012 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336520;Ogółem;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2012;2012 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
450;Absolwenci uczelni;988;"Polska; Forma studiów; Podgrupy kierunków kształcenia wg ISCED-F 2013";33617;POLSKA;93;[osoba];588;Forma studiów;1336516;stacjonarne;589;Podgrupy kierunków kształcenia wg ISCED-F 2013;1786998;OGÓŁEM;;;;;;;;;;;;;;;;;;;;;;;;;282;2013;2013 ;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
